,name,category,description,unlock,effect,sun_cost,recharge,sun_cost_remark,recharge_remark
0,Peashooter,Player's House,Peashooters are your first line of defense. They shoot peas at attacking zombies.,Unlocked by starting Player's House - Day 1,Turns into a Gatling Pea and shoots a barrage of 60 peas.,100,5.0,,
1,Sunflower,Player's House,Sunflowers are essential for you to produce extra sun. Try planting as many as you can!,Unlocked by beating Player's House - Day 1,Produces 150 sun.,50,5.0,,
2,Wall-nut,Player's House,Wall-nuts have hard shells which you can use to protect other plants.,Unlocked by beating Player's House - Day 2,Gives him a hard armor shell that shields him for 8000 DPS.,50,20.0,,
3,Potato Mine,Player's House,"Potato Mines explode on contact, but they take time to arm themselves. Plant them ahead of zombies.",Unlocked by beating Player's House - Day 3,Instantly arms himself and sets two armed clones on random tiles.,25,20.0,,
4,Cabbage-pult,Player's House,Cabbage-pults hurl cabbages at the enemy.,Unlocked by beating Player's House - Day 4 (Previously Ancient Egypt - Day 1),Launches large cabbages at every zombie onscreen.,100,5.0,,
5,Bloomerang,Ancient Egypt,"Bloomerangs can hit up to three targets in their lane, twice!",Unlocked by beating Ancient Egypt - Day 2,"Shoots 16 boomerangs up, down, left and right.",175,5.0,,
6,Iceberg Lettuce,Ancient Egypt,Iceberg Lettuces freeze a zombie when stepped on.,Unlocked by beating Ancient Egypt - Day 5,Freezes every zombie onscreen like an Ice-shroom.,0,20.0,,
7,Grave Buster,Ancient Egypt,Grave Busters consume graves they're planted on.,Unlocked by beating Ancient Egypt - Day 9,N/A,0,10.0,,
8,Bonk Choy,Ancient Egypt,Bonk Choys rapidly punch nearby enemies that are ahead or behind them.,Unlocked by beating Ancient Egypt - Day 13,Rapidly punches zombies on a 3x3 area around him.,150,5.0,,
9,Repeater,Ancient Egypt,Repeaters fire two peas at a time.,Unlocked by beating Ancient Egypt - Day 19,"Shoots a barrage of 90 peas then spits a large pea worth 600 damage, for a total of 2400 damage.",200,5.0,,
10,Twin Sunflower,Ancient Egypt,Twin Sunflowers give twice as much sun as a normal sunflower.,Unlocked by beating Ancient Egypt - Day 24,Produces 250 sun.,125,10.0,,
11,Kernel-pult,Pirate Seas,Kernel-pults fling corn kernels and paralyzing butter at zombies.,Unlocked by beating Pirate Seas - Day 1,Launches butter at every zombie onscreen.,100,5.0,,
12,Snapdragon,Pirate Seas,Snapdragons breathe fire that damages zombies in 6 adjacent tiles.,Unlocked by beating Pirate Seas - Day 3,"Breathes fire on a 3x3 area in front of him, dealing 1800 damage.",150,5.0,,
13,Spikeweed,Pirate Seas,Spikeweeds destroy rolling objects and hurt any zombies that step on them.,Unlocked by beating Pirate Seas - Day 6,Creates a barrage of spikes across the lane that drags zombies near him while damaging them.,100,5.0,,
14,Spring Bean,Pirate Seas,Spring Beans bounce back zombies that get too close. Will bounce them into water if nearby.,Unlocked by beating Pirate Seas - Day 9,Bounces all zombies back 1.25 tiles.,50,20.0,,
15,Coconut Cannon,Pirate Seas,"Coconut Cannons fire down a single lane, causing a medium explosion on impact.",Unlocked by beating Pirate Seas - Day 11,"Launches a big coconut that pushes the zombies to the far right, exploding them.",400,5.0,,
16,Threepeater,Pirate Seas,Threepeaters shoot peas in three lanes.,Unlocked by beating Pirate Seas - Day 14,Shoots a wide spread volley of peas in front of them in a leaf shape. Each head shoots 60 peas.,300,5.0,,
17,Spikerock,Pirate Seas,Spikerocks destroy multiple rolling zombies and damage zombies that walk over them.,Unlocked by beating Pirate Seas - Day 18,"The same as Spikeweed, but deals more damage.",250,5.0,,
18,Cherry Bomb,Pirate Seas,"Cherry Bombs explode when planted, blowing up zombies in a 3x3 area.",Unlocked by beating Pirate Seas - Day 24,N/A,150,35.0,,
19,Split Pea,Wild West,Split Peas shoot peas forwards and backwards.,Unlocked by beating Wild West - Day 1,Shoots a barrage of 60 peas forwards and a barrage of 90 peas backwards plus 1 big pea at the same time.,125,5.0,,
20,Chili Bean,Wild West,Chili Beans deliver a crippling bout of gastrointestinal distress.,Unlocked by beating Wild West - Day 4,"Creates a burst of stunning gas, then creates 3 clones of itself.",50,20.0,,
21,Pea Pod,Wild West,Pea Pods can be planted in the same space for up to 5 times the destruction.,Unlocked by beating Wild West - Day 6,"Shoots 5 large peas, deals 400 damage per pea",-1,5.0,125 (x5),
22,Lightning Reed,Wild West,Lightning Reeds shoot lightning bolts at the nearest zombie up to one lane away. The bolt will then arc and hit other zombies.,Unlocked by beating Wild West - Day 9,Creates a cloud that targets random zombies until it fades away.,125,5.0,,
23,Melon-pult,Wild West,Melon-pults do heavy damage to a group of zombies.,Unlocked by beating Wild West - Day 11,Launches giant melons at all zombies that deal 2.5 times the damage of a normal melon.,325,5.0,,
24,Tall-nut,Wild West,Tall-nuts are heavy duty plants that block low flying zombies.,Unlocked by beating Wild West - Day 18,Gives it armor that withstands 12000 DPS.,125,20.0,,
25,Winter Melon,Wild West,Winter Melons do heavy damage and slow groups of zombies.,Unlocked by beating Wild West - Day 24,Launches giant frozen melons at all zombies which deal 2.5 times damage of a normal frozen melon.,500,5.0,,
26,Hot Potato,Frostbite Caves,"When planted on an ice block, they will melt the ice block and free the plant if it is trapped in an iceblock.",Unlocked by beating Frostbite Caves - Day 1,N/A,0,10.0,,
27,Pepper-pult,Frostbite Caves,Pepper-pults lob flaming peppers at zombies and keep nearby plants warm.,Unlocked by beating Frostbite Caves - Day 6,Throws three giant flaming peppers on zombies which turn into smaller peppers on impact.,200,20.0,,
28,Chard Guard,Frostbite Caves,"When Chard Guard sees a zombie, he will hide and then knock the zombie back.",Unlocked by beating Frostbite Caves - Day 11,Regains all of his leaves and pushes back nearby zombies 3.125 tiles.,75,15.0,,
29,Stunion,Frostbite Caves,Stunions breathe a stunning cloud of gas on nearby zombies in the lane.,Unlocked by beating Frostbite Caves - Day 19,Releases a burst of gas in a 3x4 area in front of it.,25,20.0,,
30,Rotobaga,Frostbite Caves,"Rotobagas shoot projectiles along the four diagonals, in each direction that has a target.",Unlocked by beating Frostbite Caves - Day 26,Fires huge rutabagas in four directions.,150,5.0,,
31,Red Stinger,Lost City,"Red Stingers fire shots at full force when close to home, and become more defensive further from it.",Unlocked by beating Lost City - Day 1,Fires a focused laser that pierces through all zombies in its lane.,150,5.0,,
32,A.K.E.E.,Lost City,A.K.E.E.s lob projectiles that bounce from zombie to zombie.,Unlocked by beating Lost City - Day 6,"Lobs bigger akee seeds that deal damage to all zombies on the screen. They also bounce to closeby zombies, dealing more damage.",175,5.0,,
33,Endurian,Lost City,Endurians defend while dealing damage to zombies attacking them.,Unlocked by beating Lost City - Day 10,"Gains armor with spikes on both sides. The armor deals extra damage, but attacks slower.",100,15.0,,
34,Stallia,Lost City,Stallias slow zombies in nearby lanes.,Unlocked by beating Lost City - Day 19,Slows all zombies on screen.,0,20.0,,
35,Gold Leaf,Lost City,Gold Leaves create Gold Tiles on planting.,Unlocked by beating Lost City - Day 26,N/A,50,30.0,,
36,Laser Bean,Far Future,Laser Beans shoot lasers that pierces through zombies,Unlocked by beating Far Future - Day 1,Fires a laser from his mouth that damages everything in front of it.,200,5.0,,
37,Blover,Far Future,Blovers blow away all zombies in the air.,Unlocked by beating Far Future - Day 3,N/A,50,5.0,,
38,Citron,Far Future,Citron shoots powerful balls of plasma.,Unlocked by beating Far Future - Day 6,Shoots a powerful plasma ball that kills everything on its way until it reaches the end of the lawn or a machine.,350,5.0,,
39,E.M.Peach,Far Future,E.M.Peaches explode and disable all machines in an area.,Unlocked by beating Far Future - Day 9,N/A,25,25.0,,
40,Infi-nut,Far Future,"Infi-nuts are weaker than Wall-nuts, but they can regain health over time.",Unlocked by beating Far Future - Day 13,Creates a force field that blocks all 5 lanes.,75,15.0,,
41,Magnifying Grass,Far Future,Magnifying Grass turns sun into a bolt of colorful damage.,Unlocked by beating Far Future - Day 17,"Shoots a rainbow beam at the closest zombies. The more sun producing plants on the lawn the longer the beam lasts. If no sun-producing plants available, it will last for 3 seconds.",50,5.0,,
42,Tile Turnip,Far Future,Tile Turnips creates Power Tiles on planting.,Unlocked by beating Far Future - Day 24,N/A,-1,10.0,0 > 250 > x2,
43,Sun-shroom,Dark Ages,"Sun-shrooms give small suns at first, then normal suns, and finally large suns.",Unlocked by beating Dark Ages - Night 1,Grows to last stage and gives 225 sun.,25,5.0,,
44,Puff-shroom,Dark Ages,Puff-shrooms are short-range shooters that last for a limited time.,Unlocked by beating Dark Ages - Night 2,All Puff-shrooms shoot 30 spores and reset their timers.,0,5.0,,
45,Fume-shroom,Dark Ages,Fume-shrooms release fumes that damage all zombies in an area.,Unlocked by beating Dark Ages - Night 4,Releases a fume that pushes every zombie ahead of it to the far right and damages them.,125,5.0,,
46,Sun Bean,Dark Ages,Sun Beans infect zombies with sun. As a zombie takes damage they generate sun.,Unlocked by beating Dark Ages - Night 6,Kills the zombie who eats it and generates 0.2 sun for each DPS the zombie had left.,50,20.0,,
47,Magnet-shroom,Dark Ages,Magnet-shrooms remove helmets and other metal objects from zombies.,Unlocked by beating Dark Ages - Night 15,Attracts up to 20 metal objects and throws them down the lane.,100,15.0,,
